code;name;net;status;order;clazz;active
N2301143000001;"""Пульсар"", ИМ, ИП Сизоненко В.И., ст. Полтавская, ул. Красная, д. 133";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102737000002;"ТТ ""Империя мебели"".ИП Жамерко С.В., г. Славянск-на-Кубани, ул. Ленина, д. 38 А";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Заблокирована
N230104351000002;Instagram_kuhnia_svoimi_rukami_slav_ИП Колесник Ю.В., Славянск-на-Кубани г, Больничная ул, д. 18;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106207000002;Автозвук, ИП Лукьянов Ю.В., Трудобеликовский х, Ленина ул, д. 9/1, офис 57;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106257000001;rbt.ru, ИП Ширинян Д.Р., ст-ца Полтавская, ул Красная, д. 127;Франчайзер rbt.ru;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230101030000001;Instagram_magazinvirus_ИП Латыш М.М., Славянск-на-Кубани г, Отдельская ул, д. 225;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106344000001;Скорпион, ИП Григорьев Э.В. г. Славянск-на-Кубани, ул. Ковтюха, д. 113;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102041000011;Мото-Эксперт, ИП Сидоренко Е.Н., г. Славянск-на-Кубани г, Ленина ул, д. 129А;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102556000004;Instagram_termo_komfort_ИП Лукьяненко А.В., г. Славянск-на-Кубани, ул. Стаханова, дом 226А;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106343000001;ZIP MARKET ИП Черепанов Д.Д., Полтавская ст-ца, Народная ул, д. 45;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106343000002;www.zipmarket.online_ИП Черепанов Д.Д., Полтавская ст-ца, Народная ул, д. 45;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230103389000002;"КЦ_ТЦ""Москва"", ИП Шапарь А.В. Краснодарский край, г.Славянск-на-Кубани, ул.Ленина, д.113/1";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102041000012;Instagram_moto_expert_snk_ИП Сидоренко Е.Н., г. Славянск-на-Кубани г, Ленина ул, д. 129А;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102105000011;Instagram_goldsilverrussia_ИП Прусс Т.Ю., Полтавская ст-ца, Красная ул, д. 133;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106429000001;Спутник, ИП Гребельник Е.В., Трудобеликовский х, Ленина ул, д. 67Г;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230106207000001;Instagram_decibel_snk_Автозвук, ИП Лукьянов Ю.В., Трудобеликовский х, Ленина ул, д. 9/1, офис 57;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102737000004;SV-Мебель, ИП Жамерко С.В.,Полтавская ст-ца, Народная ул, д. 16/6;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102737000003;Instagram_svmebel_kubani23_ИП Жамерко С.В., Славянск-на-Кубани г, Юных Коммунаров ул, д. 109;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102737000005;SV-Мебель, ИП Жамерко С.В., Славянск-на-Кубани г, Юных Коммунаров ул, д. 109;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230101983000001;Ноутбук-центр, ИП Пупышев В.Ю., г. Славянск-на-Кубани, ул. Ковтюха, д. 44;Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N2301553001;"""Эльдорадо"", ИП Сизоненко М.В., ст. Полтавская, ул. Базарная, д. 4";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N770105978000229;14-09 Leran Basic  ООО Кредитные Системы  г Славянск-на-Кубани ул Ленина д.17;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230501016000006;Теле 2 (брокер) , ИП Тербалян О.Ю., г. Славянск-на-Кубани, ул. Красная 2;Теле 2 Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N260102830000024;МЕБЕЛЬ ГЛОРИЯ, ИП Каландина Е.Г., г. Славянск-на-Кубани, ул. Отдельская, д. 229;Глория;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106128000019;"www.cto1.ru, ООО ""СЕРВИС-ЮГ-ККМ"", г Славянск-на-Кубани, ул Ленина, д. 29";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N770104725000070;БИЛАЙН, ИП Крикотин Д.В., г. Славянск-на-Кубани, ул. Красная, д. 4;Независимые торговцы;Зарегистрирована в системе;3 порядок;Брокер;Активна
N2501015020002779;"ДНС БРОКЕР, ООО ""ДНС РИТЕЙЛ"", ст-ца Полтавская, ул Народная, д. 16/6";ДНС БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770104781000002;Версаль ИП Мавельянов С.А., Славянск-на-Кубани г, Ковтюха ул, дом 17;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N770102741000120;585_Славянск-на-Кубани_Дзержинского_268;Золотой 585 - (БРОКЕР);Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105016000034;Мебель ТУТ_ИП Казурова А.В._ст. Полтавская, ул. Ковтюха_д. 121-1;Мебель Тут;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N770103809010006;Кронар г. Славянск-на-Кубани, ул. Ковтюха, д. 46;СИТИЛИНК;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N260103098000003; Victoria Stenova, ИП Русских И.В., г. Славянск-на-Кубани, ул. Ленина, д. 44;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N770105382000256;ИП Пупышев Владислав Юрьевич,Prostore23,Краснодарский край,г.Славянск-на-Кубани,ул.Ковтюха, д.25;КБМ онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066440007858;14-09 Золото России ИП Дерягина Е.К. Краснодарский край Темрюк г Розы Люксембург ул 61;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105978000550;14-09 Leran Basic ООО Кредитные Системы ст-ца Полтавская ул Красная д 127;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770103106000006;"""Сервис-ЮГ-ККМ"" ООО ""СЕРВИС-ЮГ-ККМ"", г.Славянск-на-Кубани, ул.Ленина, д.29";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N770103914013001;Интернет-магазин Кронар г. Славянск-на-Кубани, ул. Ковтюха, д. 46;СИТИЛИНК;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770104725000047;МТС, ИП Крикотин Д.С., ст. Полтавская, ул. Интернациональная, д. 190, стр. 15;Независимые торговцы;Зарегистрирована в системе;3 порядок;Брокер;Активна
N2501015020002762;14-09 ДНС БРОКЕР ООО ДНС Ритейл ст-ца Полтавская ул Народная д 16;ДНС БРОКЕР;Зарегистрирована в системе;1,2 порядок;Брокер;Активна
N770104426000001;Kercher Славянск-на-Кубани, ИП Тихполоз Ф.Ф., г. Славянск-на-Кубани, ул. Батарейная, д. 262;Karcher_ТехноРаум;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N770105525000003;Алмаз Холдинг, ИП Гумеров А.Ф., г.Славянск на Кубани, ул. Ковтюха, 100;Алмаз-Холдинг;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230106270000048;"Кровельный центр, ООО ""КРОВЕЛЬНЫЙ ЦЕНТР"", г Славянск-на-Кубани, ул Красная, д.162/5";КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003400;Сеть Связной БРОКЕР_353560, СЛАВЯНСК-НА-КУБАНИ, 2, д. -;Сеть Связной БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N230105034000001;ТЕХНОСКЛАД, ИП Зобкова В.В., Славянск-на-Кубани г, Отдельская ул, дом 302;Техносклад Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003390;Сеть Связной БРОКЕР_353810, Х. ТРУДОБЕЛИКОВСКИЙ, Ленина, д. 17;Сеть Связной БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N7701040750005786;ИП Сизоненко Марина Владимировна, Пульсар, Краснодарский край, ст-ца Полтавская, Базарный пер, д. 4;КБМ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003041;Сеть Связной БРОКЕР_353560, СЛАВЯНСК-НА-КУБАНИ, Красная, д. 4;Сеть Связной БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003396;Сеть Связной БРОКЕР_353800, ПОЛТАВСКАЯ СТАНИЦА, Интернациональная, д. 190, кор. стр.14;Сеть Связной БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N7701009780004375;Крнд Славянск-на-Кубани2;СВЯЗНОЙ БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701036370002357;"""Билайн"", ПАО ""Вымпел-коммуникации"", г. Славянск-на-Кубани, ул. Ковтюха, д. 17";БИЛАЙН;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701021130001452;КВ_Славянск-на-Кубани_Красная_2/8;МЕГАФОН;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003543;Сеть Связной БРОКЕР_ПОЛТАВСКАЯ СТАНИЦА, Интернациональная, д. 190, стр.14;Сеть Связной БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400010758;14-09 Уютный дом ИП Панова КВ Краснодарский край Славянск-на-Кубани г Отдельская ул 260;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701068610009533;14-09 ЕВРОСПОРТ, ИП Баренкова Лариса Ивановна, г Славянск-на-Кубани, ул Ковтюха, уч 74/2;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230106270000012;"Кровельный центр, ООО ""КРОВЕЛЬНЫЙ ЦЕНТР"", ст-ца Петровская, ул Чапаева, д. 73А";КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003917;Сеть Связной БРОКЕР_Краснодарский край, Славянский р-н, Славянск-на-Кубани г, Ковтюха ул, д. 17;Сеть Связной БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400015518;14-09 Мобильник ИП Залян Хорен Гришаевич Краснодарский край Трудобеликовский х Ленина ул 5 д;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003027;Сеть Связной БРОКЕР_353300, п. Ахтырский, Советская, д. 87, кор. а;Сеть Связной БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066140001155;14-09 МТС онлайн Краснодарский край Славянск-на-Кубани г Юных Коммунаров ул дом 69;МТС онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230104913000006;ЮВЕЛИР-Дизайн, ИП Гусиков Ф.Я., х. Трудобеликовский, ул. Ленина, д. 17;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N77010664400015519;14-09 Мобильник ИП Залян Хорен Гришаевич Краснодарский край Славянск-на-Кубани г Красная ул 42/2 д;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770103126000023;585_Славянск-на-Кубани_Дзержинского_268;Золотой 585;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N770106861000776;14-09 Центр Ортопедии ООО ЭСТЕТИК ЛАЙФ Краснодарский край Славянск-на-Кубани г Батарейная ул 388А д;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770100978000405;Крнд Славянск-на-Кубани;СВЯЗНОЙ БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N7701068610004617;14-09 Мобильник ИП Залян Хорен Гришаевич Краснодарский край Трудобеликовский х Ленина ул 5 д;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701068610008980;14-09 Глория ИП Андрусенко Екатерина Олеговна Славянск-на-Кубани г Отдельская ул 229 д.;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400014546;14-09 ProStore ИП Пупышев Владислав Юрьевич г Славянск-на-Кубани ул Ковтюха д 25;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701038850001154;КВ_Славянск-на-Кубани_Красная_2/8;МЕГАФОН;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770103106000005;"""Сервис-ЮГ-ККМ"" ООО ""СЕРВИС-ЮГ-ККМ"", ст.Полтавская, ул.Коммунистическая, д.173";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230104861000005;"ШИНХИМТРАНС_ПОЛТАВСКАЯ, ООО ""ШИНХИМТРАНС"", Полтавская ст-ца, Народная ул, дом 10";ШИНХИМТРАНС;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N7701009780003536;Крнд Полтавская2;СВЯЗНОЙ БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N7701009780002491;Крнд Полтавская;СВЯЗНОЙ БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N770104915000003;"Магазин ""12 стульев на Отдельской"" ООО ""Альянс"", г. Славянск-на-Кубани, ул. Отдельская, д. 260/1";ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003145;Сеть Связной БРОКЕР_353579, СТ.ПЕТРОВСКАЯ, Красная, д. 52, кор. а;Сеть Связной БРОКЕР;Документы получены;3 порядок;Брокер;Активна
N7701068610009132;"14-09 Кровельный центр ООО ""КРОВЕЛЬНЫЙ ЦЕНТР"" хутор Трудобеликовский ул Ленина д 82";ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066440007852;14-09 Золото Юга ИП Дерягин Р.Е. Краснодарский край Полтавская ст-ца Ковтюха ул 119;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066140001145;14-09 МТС онлайн Краснодарский край Славянск-на-Кубани г Красная ул 4/1;МТС онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066140001183;14-09 МТС онлайн Краснодарский край Полтавская ст-ца Интернациональная ул дом 190/13;МТС онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105367000010;kubaninstrument.ru_СЛАВЯНСК-НА-КУБАНИ, ИП Дерлугов Л.П., Славянск-на-Кубани г, Пролетарская ул, 1;Кубань Инструмент;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N770103914013073;"14-09 ""СИТИЛИНК ООО """"Ситилинк"""" Краснодарский край, г. Славянск-на-Кубани, ул Ковтюха 19 (онлайн)";СИТИЛИНК;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105788000001;Кровельный центр Ахтырское ОП ИП Даниленко Е.Г., Ахтырский пгт, Колхозная ул, дом 63;КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701068610009275;"14-09 МТС ИП Горская Ангелина Салмановна Славянский р-н; ст-ца Петровская ул Красная д 40В";ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701068610009277;14-09 Глория ИП Каландина Елена Геннадьевна Славянск-на-Кубани г Отдельская ул 229 д.;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770106165000474;Много Мебели КВМ  ИП Костылева Оксана Андреевна г Славянск-на-Кубани ул Ковтюха д 50;Много Мебели KBM;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003726;Сеть Связной БРОКЕР_353800, ПОЛТАВСКАЯ СТАНИЦА, Интернациональная, д. 176, кор. А;Сеть Связной БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400021305;14-09 Кровельный центр, ООО Кровельный центрг Славянск-на-Кубани, ул Красная, д 162/5;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400021304;14-09 Кровельный центр, ООО Кровельный центр ст-ца Петровская, ул Чапаева, д 73а;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002473;14-09 Финсервис (Poslogic) ИП Прыткова Светлана Павловна г Славянск-на-Кубани ул Ковтюха д 4;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002470;14-09 Финсервис (Poslogic) ИП Таран Юрий Николаевич г Славянск-на-Кубани ул Пионерская д 10;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002472;14-09 Финсервис (Poslogic) ИП Прыткова Светлана Павловна г Славянск-на-Кубани ул Красная д 66;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400010759;14-09 12 стульев ИП Норенко Марина Сергеевна Краснодарский край Славянск-на-Кубани г Ковтюха ул 116;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400021547;"14-09 Кровельный центр ООО ""КРОВЕЛЬНЫЙ ЦЕНТР"" Темрюкский р-н Тамань ст-ца 8 Гвардейская ул 97";ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002474;14-09 Финсервис (Poslogic) ИП Осадчий Виктор Юрьевич г Славянск-на-Кубани ул Ковтюха д 140;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002487;14-09 Финсервис (Poslogic) ИП Прыткова С.П. Краснодарский край ст-ца Полтавская ул Красная д 66;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002514;14-09 Финсервис (Poslogic) ИП Прыткова С.П. Краснодарский край ст-ца Петровская ул Чапаева д 148Б;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002513;14-09 Финсервис (Poslogic) ИП Прыткова С.П. Краснодарский край ст-ца Анастасиевская ул Победы д 2Б;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066440008088;14-09 Тук-Тук ИП Залян Марта Гургеновна Краснодарский край Славянск-на-Кубани г Пролетарская ул 118;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701068610004595;14-09 МТС ИП Горская Ангелина Салмановна ст-ца Анастасиевская ул Красная д 144;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400018311;14-09 Ростовские Окна ИП Мизанова ИА Краснодарский край Темрюк г Калинина ул 184/8 д;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002476;14-09 Финсервис (Poslogic) ИП Осадчая Татьяна Владимировна г Славянск-на-Кубани ул Ковтюха д 140;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066810002471;14-09 Финсервис (Poslogic) ИП Прыткова Светлана Павловна г Славянск-на-Кубани ул Победы д 320;Финсервис (Poslogic);Зарегистрирована в системе;3 порядок;Брокер;Активна
N77010664400010726;14-09 Торговый центр БТ ИП Дейнега АВКраснодарский край Славянск-на-Кубани г Анастасиевская ул 113;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701066140001331;14-09 МТС онлайн Краснодарский край Полтавская ст-ца Интернациональная ул 176 A;МТС онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770106165000390;Много Мебели КВМ  ИП Казурова Анна Владимировна г Славянск-на-Кубани ул Пионерская д 14;Много Мебели KBM;Зарегистрирована в системе;3 порядок;Брокер;Активна
N640103273000028;Много мебели КЦ, ИП Казурова А.В.,  г. Славянск-на-Кубани, ул. Пионерская, д.14;Много Мебели КЦ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770103507000463;"М.ВИДЕО БРОКЕР_ООО""М.видеоМенеджмент""Славянск-на-Кубани,х.Трудобеликовский,ул.Ленина,8/1ТЦ""Lucky""";М.ВИДЕО БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N250101642000239;"14-09ДНС, ООО ""ДНС РИТЕЙЛ"",город Славянск-на-Кубани, улица Ковтюха, д.61";ДНС Онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N250101642000238;"14-09ДНС, ООО ""ДНС РИТЕЙЛ"",г. Славянск-на-Кубани,,ул. Ленина,д. 111,,";ДНС Онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701038850002944;14-09 КВ_Темрюк_Ленина_54;МЕГАФОН;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102512000460;"14-09 М.Видео Онлайн ООО ""МВМ""г. Славянск-на-Кубани,Краснодарский край,Ленина ул,8";М.Видео Онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N640103273000030;Много Мебели КЦ Казурова А.В. Краснодарский край,х Трудобеликовский, ул Ленина, д 17,;Много Мебели КЦ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N640103273000031;Много Мебели КЦ Казурова А.В. Россия,Краснодарский край,ст-ца Полтавская, ул Ковтюха, д 129/1,;Много Мебели КЦ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105660000003;Online_СЛАВЯНСК-НА-КУБАНИ, ИП Тихполоз Ф.Ф., Славянск-на-Кубани г, Батарейная ул, д. 262;Karcher_ТехноРаум;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770102471003023;Сеть Связной БРОКЕР_353590, ст.Анастасиевская, Красная, д. 146;Сеть Связной БРОКЕР;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105729000005;Кровельный центр Трудобеликовское ОП , ИП Михеева В.А., Трудобеликовский х, Ленина ул, дом 82;КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105729000004;Кровельный центр Славянское ОП, ИП Михеева В.А., Славянск-на-Кубани г, Красная ул, дом 162/5;КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105729000003;Кровельный центр Полтавское ОП , ИП Михеева В.А., Полтавская ст-ца, Народная ул, дом 69/1;КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105729000002;Кровельный центр Петровское ОП, ИП Михеева В.А., Петровская ст-ца, Чапаева ул, дом 73 А;КБМ Мебель, Окна/Двери, Все для дома;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230105871000001;KARHER_СЛАВЯНСК-НА-КУБАНИ, ИП Тихполоз Ф.Ф., Славянск-на-Кубани г, Батарейная ул, д. 262;Karcher_ТехноРаум;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105978000387;14-09 Leran Basic  ООО Кредитные Системы    г Темрюк ул Калинина д 1 онлайн;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105978000389;14-09 Leran Basic  ООО Кредитные Системы    г Славянск-на-Кубани ул Ковтюха д 100 онлайн;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701047310004413;14-09 МТС 353560, Краснодарский край, Славянск-на-Кубани г, Красная ул, 145/10;МТС;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105978000388;14-09 Leran Basic  ООО Кредитные Системы    г Славянск-на-Кубани ул Ленина д 17 онлайн;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770106165000154;Много Мебели КВМ  ИП Костылева Оксана Андреевна х Трудобеликовский ул Ленина д 17;Много Мебели KBM;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105978000753;14-09 Leran Basic  ООО Кредитные Системы   хутор Трудобеликовский, ул. Ленина, д. 17  онлайн;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N660103452000128;NEW mIPos_г Славянск-на-Кубани_ул. Ковтюха д. 100;Независимые торговцы;Зарегистрирована в системе;1,2 порядок;IPos;Активна
N770104657000178;rbt.ru ИП Филиппов С.Н. Краснодарский край Хутор Трудобеликовский ул Ленина 17;rbt.ru;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770104657000181;rbt.ru ИП Филиппов С.Н. Краснодарский край Славянск-на-Кубани ул Ковтюха 100;rbt.ru;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701040750003661;ИП Турчина Елена Андреевна, ru.Store. Славянск-на-Кубани, Полковая, 259;КБМ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105978000228;14-09 Leran Basic  ООО Кредитные Системы   г Славянск-на-Кубани ул Ковтюха д.100;Leran Basic;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230106128000029;"www.cto1.ru, ООО ""СЕРВИС-ЮГ-ККМ"",  ст-ца Полтавская, ул Коммунистическая, д. 173";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N7701047310001148;МТС Полтавская ст-ца, Интернациональная ул, дом 190/13;МТС;Зарегистрирована в системе;3 порядок;Брокер;Активна
N2501017340002445;"14-09 ДНС Брокер УП, ООО ""ДНС РИТЕЙЛ"" Краснодарский край, Полтавская, Народная ул, д 16, корп 6";ДНС Брокер УП;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770106340000120;Instagram_ivan.kuzminsky_ИП Кузьминский И.А., г Краснодар, ул Славянская, д. 52, офис 20;Freshcredit онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701021130003185;"14-09 МЕГАФОН, ООО ""Мегафон Ритейл"" Краснодарский край, г. Славянск-на-Кубани, ул. Ковтюха, д. 19";МЕГАФОН;Зарегистрирована в системе;3 порядок;Брокер;Активна
N2501016420002456;"14-09ДНС, ООО ""ДНС РИТЕЙЛ"", ст-ца Полтавская, ул Народная, д. 16/6";ДНС Онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701040750005416;12 Стульев, ИП Норенко М.С., г Славянск-на-Кубани, ул Отдельская, д.260;КБМ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701040750005417;Уютный дом, ИП Панова К.В., г Славянск-на-Кубани, ул Ковтюха, д 116;КБМ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701040750005415;12 Стульев, ИП Панова Кристина Владимировна, г Славянск-на-Кубани, ул Отдельская д.260;КБМ;Зарегистрирована в системе;3 порядок;Брокер;Активна
N770105382000214;ru.Store, ИП Турчина Е.А., Краснодарский край, г. Славянск-на-Кубани, ул. Полковая, д. 259;КБМ онлайн;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701038850002929;"14-09 МЕГАФОН, ООО ""Мегафон Ритейл"" Краснодарский край, г. Славянск-на-Кубани, ул. Ковтюха, д. 19";МЕГАФОН;Зарегистрирована в системе;3 порядок;Брокер;Активна
N7701038850003023;14-09 КВ_Полтавская_Интернациональная_190_15;МЕГАФОН;Зарегистрирована в системе;3 порядок;Брокер;Активна
