regcenterName;lendingOfficeName;lendingOfficeCode;type;organizationName;shopName;commercialNetName;shopCode;shopAddress;locationMessage;workingHours;latitude;longitude;order
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Бекузаров Олег Георгиевич;OMEGA Бытовая техника(г.Ардон);;150100159000001;363330, Северная Осетия - Алания Респ, Ардонский р-н, Ардон г, Толстого ул ул, д. 20;ТТ находится в центре Ардона за продуктовой частью ТД Омегой, здание одноэтажное;"Пн-Пт: 10:00-18:00 ; Сб: 10:00-18:00 ; Вс: 10:00-18:00";43.1852844;44.3013464;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисиков Олег Русланович;"""Ringoo"", ИП Мисиков О.Р., Владикавказ г, Владикавказская ул, д. 35";;150100844000005;362045, Северная Осетия - Алания Респ, Владикавказ г, Владикавказская ул, д. 35;"район рынка ""Алан"", около кафе ""Сирия"". Маршрут№ 77,45,59,10.";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0480769;44.6317617;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Левченко Виктория Сергеевна;Мобитек Кирова, ИП Левченко В.С., г.Владикавказ, ул. Кирова, д. 44;;150100442000001;362040, Северная Осетия - Алания Респ, Владикавказ г, Кирова ул, д. 44;ТТ находится напротив аграрного университета, на 1 этаже в торговом ряду.;"Пн-Пт: 10:00-19:30 ; Сб: 10:00-19:30 ; Вс: 10:00-19:30";43.034818;44.681106;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;IPOS;Мобильный офис;"NEW miPos_Владикавказ_пр-кт.Коста_15(ООО ""Капитал Плаза"")";;660103452000057;362008, Северная Осетия - Алания респ, Владикавказ г, Коста пр-кт, д. 15;"Стойка находится в ДЦ ""Капитал плаза""(само здание слева от ТД Арктика), на втором этаже, ступеньки упираются в стойку.";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0054209;44.6737763;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Сижажева Фатима Руслановна;Первый кровельный завод, ИП Сижажева Ф.Р., г.Владикавказ, ул.Пожарского, д.17;;150100785000001;362021, Северная Осетия - Алания Респ, Владикавказ г, Пожарского ул, д. 17;"ТТ находится за ""пожарским"" мостом не доезжая до Черменского круга крупный кровельный завод";"Пн-Пт: 09:00-18:00 ; Сб: 09:00-18:00 ; Вс: Выходной";43.0616386;44.6900441;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Козлов Антон Александрович;АНГАЖЕМЕНТ_ВЛАДИКАВКАЗ, ИП Козлов А.А., г. Владикавказ, ул. Доватора, д.12;;150100788000002;362048, Северная Осетия - Алания Респ, Владикавказ г, Доватора пр-кт, д. 12;ТТ находится напротив ТЦ Европейский, отдельно стоящий крупный двухэтажный магазин.;"Пн-Пт: 09:00-19:00 ; Сб: 09:00-19:00 ; Вс: 09:00-19:00";43.0188648;44.6600336;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Епхошвили Анна Малхазовна;Беталинк Коста, ИП Епхошвили А.М. г.Владикавказ, пр-кт. Коста, д.182;;150100728000001;362000, Северная Осетия - Алания респ, Владикавказ г, Коста пр-кт, д. 182;ТТ находится рядом с магазином Магнит(бывший Метро) на первом этаже трехэтажного здания. Вход с ул.Островского.;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0350212;44.6650432;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисиков Олег Русланович;"""Ringoo"", ИП Мисиков О.Р., Владикавказ г, Коста пр-кт, д. 199, офис 1А";;150100844000003;362003, Северная Осетия - Алания Респ, Владикавказ г, Коста пр-кт, д. 199, офис 1А;район осетинского театра, около ГМТ. Маршрут № 1,35,26,25.;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.031892;44.666356;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисиков Олег Русланович;"""Ringoo"", ИП Мисиков О.Р., Владикавказ г, Ватутина ул, д. 33";;150100844000004;362025, Северная Осетия - Алания Респ, Владикавказ г, Ватутина ул, д. 33;район дружбы, около Университета СОГУ. Маршрут № 77, 50, 35, 24, 8.;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0287899;44.6901779;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Дадтеев Мирон Казбекович;Кровля-Мастер, ИП Дадтеев М.К., Владикавказ г, Московская ул, д. 4;;150100823000001;362031, Северная Осетия - Алания Респ, Владикавказ г, Московская ул, д. 4;"ТТ находится рядом с Советским судом, белые ворота с надписью ""Кровля мастер"", во двор прямо до конца и направо во двор, на здании будет надпись стол заказов, кредитный отдел расположен  напротив входа.";"Пн-Пт: 09:00-18:00 ; Сб: 09:00-18:00 ; Вс: 09:00-18:00";43.0591154;44.6512762;1,2 порядок
