sapCode;shopName;shopAddress;workingHours
X653;Якутия Бердигестях2 ЕС;678030, Бердигестях с, Данилова ул 14/1;Пн-Пт (10:00-19:00)
GE66;ЕК Каменск-Уральский ТЦ Каменск;623428, Свердловская обл, Каменск-Уральский г, Победы пр-кт, дом № 65;Пн-Вс (09:00-21:00)
P353;РТ Уфа Мега3 ЕС;450018, Уфа г, Рубежная 174;Пн-Вс (10:00-22:00)
S538;Вновг ТЦ Барк ЕС;173025, Великий Новгород г, Свободы ул 25;Пн-Сб (09:00-20:00), Вс (09:00-19:00)
L514;Кубинка ТЦ Авиатор;143070, Московская обл, Одинцовский р-н, Кубинка г, Наро-Фоминское ш, дом № 23 ТРЦ "Авиатор";Пн-Вс (09:00-21:00)
R209;Почеп2 ЕС;243400, Почеп г, Смоленская ул 1а;Пн-Вс (09:00-19:00)
YS03;СПб ТЦ Балканский2;192281, Санкт-Петербург г, Балканская пл, дом № 5, литера Е ТЦ Балканский;Пн-Вс (10:00-20:00)
YC30;Осташков;172730, Тверская обл, Осташковский р-н, Осташков г, Ленинский пр-кт, д. 148;Пн-Сб (09:00-19:00), Вс (09:00-17:00)
GC57;ХМАО Когалым2;628484, Ханты-Мансийский Автономный округ - Югра АО, Когалым г, Молодежная ул, дом № 9 А;Пн-Пт (09:15-19:30), Сб-Вс (10:15-18:30)
GO11;РнД Туполева;344093, Ростовская обл, Ростов-на-Дону г, Туполева ул, дом № 20 Б;Пн-Вс (09:00-21:00)
LS78;Омск Калачинск;646901, Омская обл, Калачинский р-н, Калачинск г, Петра Ильичева ул, дом № 20;Пн-Пт (09:00-17:45), Сб-Вс (09:00-16:00)
LR97;Крск Заозерный;663960, Красноярский край, Заозерный г, 40 лет Октября ул, дом № 47 пом. 58;Пн-Вс (09:00-19:00)
GA49;ЕК Кировград;624140, Свердловская обл, Кировград г, Свердлова ул, дом № 64;Пн-Вс (09:00-19:00)
GA80;ЕК Нижний Тагил8;622000, Свердловская обл, Нижний Тагил г, Вагоностроителей пр-кт, д.21/ пр.Дзержинского, д.45;Пн-Вс (09:00-21:00)
LP42;Прим Кавалерово Центр;692411, Приморский край, Кавалеровский р-н, Кавалерово пгт, Кузнечная ул, дом № 36г;Пн-Вс (09:00-20:00)
YD16;Торопец;172840, Тверская обл, Торопец г, Советская ул, дом № 7/2;Пн-Вс (09:00-20:00)
L256;Домодедово город5;142000, Московская обл, Домодедово г, Северный мкр, Каширское ш, дом № стр.3А;Пн-Вс (10:00-22:00)
GO08;Рнд ТРК Вавилония;344092, Ростовская обл, Ростов-на-Дону г, Космонавтов пр-кт, дом № 2/2;Пн-Вс (10:00-22:00)
GN42;Крнд Красная Площадь3;350005, Краснодарский край, Краснодар г, им Александра Покрышкина ул, дом № 34 ТЦ Красная Площадь;Пн-Вс (10:00-22:00)
GA43;ЕК Каменск-Уральский8;623401, Свердловская обл, Каменск-Уральский г, Карла Маркса ул, дом № 55 а;Пн-Вс (09:00-21:00)
