sapCode;shopName;shopAddress;workingHours
L464;Чехов3;142300, Московская обл, Чеховский р-н, Чехов г, Московская ул, дом № 96;Пн-Вс (10:00-22:00)
YA91;Донской;301767, Тульская обл, Донской г, Центральный мкр, Октябрьская ул, дом № 59а;Пн-Вс (09:00-20:00)
YD38;Узловая;301600, Тульская обл, Узловский р-н, Узловая г, Октябрьская ул, дом № 8;Пн-Вс (09:00-21:00)
YC14;Обнинск5;249034, Калужская обл, Обнинск г, Ленина пр-кт, дом № 72;Пн-Вс (10:00-19:30)
YA55;Воронеж26;394004, Воронежская обл, Воронеж г, Ленинский пр-кт, дом № 116 с Остановочный комплекс "Придача";Пн-Вс (09:00-21:00)
YC37;Петушки;601144, Владимирская обл, Петушинский р-н, Петушки г, Маяковского ул, дом № 12а;Пн-Вс (09:00-20:00)
YD39;Унеча;243300, Брянская обл, Унечский р-н, Унеча г, Иванова ул, дом № 10;Пн-Вс (09:00-20:00)
YA73;Вышний Волочек;171158, Тверская обл, Вышний Волочек г, Казанский пр-кт, дом № 93;Пн-Вс (09:00-19:00)
YA18;Белгород9;308010, Белгородская обл, Белгород г, Б.Хмельницкого пр-кт, дом № 164 ТЦ РИО;Пн-Вс (10:00-22:00)
YC50;Россошь;396659, Воронежская обл, Россошанский р-н, Россошь г, Октябрьская пл, дом № 22б;Пн-Вс (08:00-20:00)
L366;Ногинск4;142402, Московская обл, Ногинский р-н, Ногинск г, Ильича ул, дом № промплощадка №1 строение 1;Пн-Вс (09:00-21:00)
R227;Судогда2 ЕС;601350, Судогда г, Ленина ул 42;Пн-Вс (09:00-18:00)
R241;Климово ЕС;243040, Климово пгт, Октябрьская ул 13;Пн-Вс (09:00-19:00)
N385;Хкс Усть-Абакан ЕС;655100, Усть-Абакан пгт, Проточная ул 22;Пн-Вс (09:30-18:30)
R767;Балабаново2 ЕС;249000, Калужская обл.,г. Балабаново, ул. 50 лет Октября "Балабановские торговые ряды";Пн-Вс (09:00-21:00)
LS02;Крск Канск АЛПИ;663600, Красноярский край, Канск г, 40 лет Октября ул, дом № 62 строение 4 пом. 15;Пн-Вс (10:00-20:00)
LD18;Кир Слободской3;613150, Кировская обл, Слободской р-н, Слободской г, Советская ул, дом № 79;Пн-Вс (08:00-20:00)
U569;ЕК Шаля2 ЕС;623030, Шаля пгт, Орджоникидзе ул, д. 2б;Пн-Вс (09:00-20:00)
X621;Якутск Дворец Связи ЕС;677000, Якутск г, Ленина пр-кт 7;Пн-Вс (09:00-21:00)
L161;ТЦ Калита;117418, Москва г, Новоясеневский пр-кт, дом № 7 ТЦ Калита;Пн-Вс (10:00-22:00)
RE35;Фатеж ЕС;307100, Фатеж г, Карла Маркса ул 76А;Пн-Вс (09:00-18:00)
LP32;Прим Владивосток ТЦ Дружба;690039, Приморский край, Владивосток г, Русская ул, дом № 2 А ТЦ Дружба;Пн-Вс (10:00-21:00)
KI76;Крнд Усть-Лабинск Ободовского ЕС;352330, Усть-Лабинск г, Ободовского ул 27;Пн-Вс (08:00-20:00)
P571;РТ Тоцкое ЕС;461132, Тоцкое Второе с, Ленина ул 16;Пн-Вс (10:00-19:00)
ND64;Хкс Саяногорск Шушенская ЕС;655603, Саяногорск г, Шушенская ул 18;Пн-Вс (10:00-20:00)
S076;Архск Северодвинск Ломоносова ЕС;164500, Северодвинск г, Ломоносова ул 81;Пн-Вс (11:00-21:00)
S770;Вологда Макси ЕС;160000, Вологда г, Горького 122;Пн-Вс (10:00-21:00)
N053;Крск ТЦ Планета2 ЕС;660125, Красноярск г, 9 Мая 77;Пн-Вс (10:00-22:00)
KG03;РнД Тарасовский Кирова ЕС;346050, Тарасовский п, Кирова ул 2 а;Пн-Вс (08:00-19:00)
GA69;ЕК Нижний Тагил ТЦ Депо;622000, Свердловская обл, Нижний Тагил г, Свердловское ш, дом № 31, корпус Б ТЦ Депо;Пн-Вс (10:00-22:00)
YD80;Россошь3;396658, Воронежская обл, Россошанский р-н, Россошь г, Труда пр-кт, дом № 4Б;Пн-Вс (09:00-20:00)
N354;Ирк Тайшет Гагарина ЕС;665010, Тайшет г, Гагарина ул 123;Пн-Вт (09:00-21:00), Ср-Чт (09:00-19:00), Пт (09:00-21:00), Сб-Вс (09:00-19:00)
YA89;Данков;399850, Липецкая обл, Данковский р-н, Данков г, Карла Маркса ул, дом № 9а;Пн-Вс (09:00-19:00)
YC31;Острогожск;397855, Воронежская обл, Острогожский р-н, Острогожск г, Ленина ул, дом № 18;Пн-Вс (08:00-19:00)
YA23;Борисоглебск;397165, Воронежская обл, Борисоглебский р-н, Борисоглебск г, Советская ул, позиция № 7;Пн-Вс (08:00-20:00)
YA54;Воронеж24;394038, Воронежская обл, Воронеж г, Космонавтов ул, дом № 27Г ул. Космонавтов, 27А;Пн-Вс (10:00-21:00)
U296;Пермь Соликамск3 ЕС;618540, Соликамск г, Северная ул 57;Пн-Вс (09:00-20:00)
LS06;Крск Курагино;662910, Красноярский край, Курагинский р-н, Курагино пгт, Советский пер, строение № 15 а пом.3;Пн-Вс (09:00-19:00)
GL24;Астр Исады2;414000, Астраханская обл, Астрахань г, ул.Красная Набережная/Ногина д98/1, Литер А ,помещение 2;Пн-Вс (08:00-19:00)
K220;Ствр Невинномысск3 ЕС;357100, Невинномысск г, Гагарина ул 6;Пн-Вс (09:00-21:00)
R521;Таруса ЕС;248000, Таруса г, Ленина ул 9;Пн-Вс (09:00-19:00)
X402;Амур Благовещенск Октября3 ЕС;675000, Благовещенск г, 50 лет Октября ул 42;Пн-Вс (09:00-20:00)
LT43;КО Анжеро-Судженск Электрический2;652470, Кемеровская обл, Анжеро-Судженск г, Электрический пер, дом № 9;Пн-Вс (09:00-20:00)
YA95;Елец4;399770, Липецкая обл, Елец г, Коммунаров ул, дом № 66;Пн-Вс (09:30-20:00)
PD10;РТ Суходол Куйбышева ЕС;446552, Суходол пгт, Куйбышева ул 8А;Пн-Вс (09:00-20:00)
L499;Рошаль Советская;140731, Московская обл, Рошаль г, Советская ул, павильон около дома № 25;Пн-Вс (09:00-21:00)
R732;Рязань ТРЦ Премьер ЕС;390000, Рязань г, Московское ш 21;Пн-Вс (10:00-22:00)
L496;Кашира ТЦ Звезда;142900, Московская обл, Каширский р-н, Кашира г, Садовая ул, дом № 32 ТЦ "Звезда";Пн-Вс (09:00-21:00)
GL90;Крнд Адлер ТЦ Новый век;354340, Краснодарский край, Сочи г, Кирова ул, дом № 58 ТЦ Plaza;Пн-Вс (10:00-21:00)
N812;КО Прокопьевск Гагарина ЕС;653033, Прокопьевск г, Гагарина ул 35;Пн-Вс (09:00-20:00)
NE95;Ирк Шелехов ТЦ Радуга ЕС;г.Шелехов, Квартал 6, дом 30 А;Пн-Вс (09:00-20:00)
AA06;ПВЗ ТЦ Свод;117208, Москва г, Чертановская ул, дом № 1, корпус г ТЦ Свод;Пн-Вс (10:00-21:00)
R078;Ржев4 ЕС;172390, Ржев г, Ленина ул 18;Пн-Вс (09:00-21:00)
N841;Нсиб ТЦ Ройял Парк ЕС;630049, Новосибирск г, Красный пр-кт 101;Пн-Вс (10:00-22:00)
L181;ТЦ РТС;127247, Москва г, Дмитровское ш, дом № 98 помещение 109;Пн-Вс (10:00-21:00)
YO66;Вновг Старая Русса;175202, Новгородская обл, Старорусский р-н, Старая Русса г, Поперечная ул, дом № 73;Пн-Вс (09:00-21:00)
GN98;Крнд Старощербиновская;353620, Краснодарский край, Щербиновский р-н, Старощербиновская ст-ца, Первомайская ул, дом № 84;Пн-Вс (08:00-20:00)
GD30;Члб Златоуст5;456205, Челябинская обл, Златоуст г, им П.П.Аносова ул, дом № 178;Пн-Вс (09:00-19:00)
RH63;Орел ТЦ Линия ЕС;302001, Орел г, Михалицына ул 5;Пн-Вс (09:00-21:00)
RH08;Задонск ТЦ Сити Молл ЕС;399201, Задонск г, Крупской ул 55;Пн-Вс (09:00-19:00)
N392;НСО Черепаново Партизанская ЕС;633525, Черепаново г, Партизанская ул 67;Пн-Вс (09:00-17:00)
X633;Якутия Ытык-Кюёль ЕС;678650, Ытык-Кюель с, Мординова ул 22;Пн-Пт (10:00-18:00)
YO48;Архск Северодвинск ТЦ Сити2;164523, Архангельская обл, Северодвинск г, Морской пр-кт, дом № 70 ТЦ Сити;Пн-Вс (10:00-21:00)
GO80;Крнд Красная Площадь4;350005, Краснодарский край, Краснодар г, Дзержинского , дом № 100 ТРК Красная Площадь;Пн-Вс (10:00-22:00)
GO87;Влд Камышин Магнит;403876, Волгоградская обл, Камышин г, 5 мкр, дом № 48Б ГМ Магнит;Пн-Вс (09:00-21:00)
R085;Данилов2 ЕС;152070, Данилов г, Цимервальда ул 44А;Пн-Вс (09:00-19:00)
S274;Псков Коммунальная2 ЕС;180024, Псков г, Коммунальная ул 41;Пн-Вс (10:00-21:00)
N364;Томск ТЦ Спектр ЕС;634063, Томск г, Сергей Лазо ул 15;Пн-Вс (09:00-20:00)
YB86;Меленки;602102, Владимирская обл, Меленковский р-н, Меленки г, Коммунистическая ул, дом № 39;Пн-Вс (08:00-17:00)
NE04;Крск ТЦ Енисей2 ЕС;660078, Красноярск г, 60 лет Октября ул 48;Пн-Вс (10:00-20:30)
X638;Якутия Чурапча1 ЕС;678670, Чурапча с, К. Маркса ул 15;Пн-Вс (09:00-19:00)
U887;Тмн ТЦ Зеленый берег ЕС;625000, Тюмень г, Алебашевская 19;Пн-Вс (09:00-21:00)
K074;Крнд Армавир Мира2 ЕС;352900, Армавир г, Мира ул 57;Пн-Вс (09:00-20:00)
X092;Хаб Хор ЕС;682920, Хор рп, Ленина 8;Пн-Пт (09:00-19:00), Сб-Вс (10:00-18:00)
LE36;СРТ Красный Кут;413235, Саратовская обл, Краснокутский р-н, Красный Кут г, Саратовский пер, дом № 1;Пн-Вс (08:00-19:00)
L460;Хотьково;141371, Московская обл, Сергиево-Посадский р-н, Хотьково г, Михеенко ул ресторан Радонеж;Пн-Вс (09:00-21:00)
U834;ЕК Тавда2 ЕС;623950, Тавда г, 9-Мая ул 4 пом 53;Пн-Вс (09:00-20:00)
S412;Вновг Старая Русса Поперечная ЕС;175202, Новгородская обл, Старорусский р-н, Старая Русса г, Поперечная ул, дом № 73;Пн-Вс (09:00-21:00)
RE87;Доброе ЕС;399140, Доброе с, Советский пер 6;Пн-Вс (09:00-18:00)
L031;Бирюлево4;115372, Москва г, Бирюлевская ул, дом № 51, корп.1;Пн-Вс (09:00-21:00)
N110;Хкс Абакан ТЦ Калина ЕС;655004, Абакан г, Некрасова ул 31 а;Пн-Вс (10:00-21:00)
K082;Крнд Кавказская Ленина ЕС;352154, Кавказская ст-ца, Ленина ул 197;Пн-Вс (08:00-19:00)
U685;Пермь Чердынь ЕС;618601, Чердынь г, Успенская ул, 74;Пн-Вс (10:00-18:00)
P559;РТ Новосергиевка Базарная2 ЕС;461200, Новосергиевка п, Базарная ул 8В;Пн-Вс (10:00-19:00)
U096;ЕК Камышлов1 ЕС;624860, Камышлов г, Карла Маркса ул 43а;Пн-Вс (09:00-19:00)
S930;Устюжна ЕС;162840, Устюжна г, Ленина ул 3;Пн-Вс (09:00-18:00)
S827;Мрмск Оленегорск Ленинградский ЕС;184530, Оленегорск г, пр.Ленинградский 7;Пн-Вс (10:00-21:00)
I010;ПВЗ Крнд Кожевенная;350004, Краснодарский край, Краснодар г, Кожевенная ул, дом № 58;Пн-Вс (09:00-21:00)
R331;Рыбное ТЦ Барс ЕС;391110, Рыбное г, Почтовая ул 1;Пн-Сб (08:00-18:45), Вс (08:00-15:45)
SW74;СПб Выборг Мира ЕС;188800, Выборг г, Мира ул 3;Пн-Вс (09:00-21:00)
ND42;Тыва Кызыл Добровольцев3 ЕС;667000, Кызыл г, Тувинских добровольцев ул 26;Пн-Вс (09:00-20:00)
N525;НСО Карасук2 ЕС;632865, Карасук г, Ленина ул 39/2;Пн-Вс (09:00-20:00)
U950;Тмн Тобольск ТЦ РИО ЕС;626152, Тобольск г, Зона ВУЗов 4;Пн-Вс (10:00-22:00)
GO98;Крнд Тамань Пушкина2;353555, Тамань , Пушкина , дом № 5a;Пн-Вс (09:00-21:00)
K095;Крнд Успенское ЕС;352450, Успенское с, Буденного ул 41;Пн-Вс (08:00-19:00)
GC56;ХМАО Когалым ТЦ Галактика;628481, Ханты-Мансийский Автономный округ - Югра АО, Когалым г, Дружбы Народов ул, дом № 60 ТЦ Галактика;Пн-Вс (10:00-22:00)
W605;РТ Батырево2 ЕС;429350, Батырево с, Дружбы ул 6М;Пн-Вс (09:00-18:00)
LA79;РТ Ижевск Красноармейская2;426057, Удмуртская Респ, Ижевск г, Красноармейская ул, дом № 132;Пн-Пт (10:00-19:00), Сб-Вс (10:00-18:00)
LQ92;Ирк Тайшет Григорьева;665000, Иркутская обл, Тайшет г, Гагарина ул, дом № 123-2н;Пн (09:00-19:00), Вт (09:00-21:00), Ср-Чт (09:00-19:00), Пт (09:00-21:00), Сб-Вс (09:00-19:00)
LQ47;Ирк ТЦ Карамель;664007, Иркутская обл, Иркутск г, Партизанская ул, дом № 36;Пн-Вс (10:00-22:00)
LR95;Крск Железногорск;662970, Красноярский край, Железногорск г, Ленинградский пр-кт, дом № 1б;Пн-Вс (10:00-20:00)
GL32;Астр ТКТри Кота2;414041, Астраханская обл, Астрахань г, Кировский р-н, Минусинская ул, дом № 8;Пн-Вс (09:00-21:00)
LR68;КО Промышленная;652380, Кемеровская обл, Промышленновский р-н, Промышленная пгт, Н.Островского ул, дом № 20;Пн-Вс (09:00-20:00)
L377;Одинцово9;143005, Московская обл, Одинцовский р-н, Одинцово г, Можайское ш, дом № 71;Пн-Вс (10:00-20:00)
LQ72;Ирк Депутатская;664047, Иркутская обл, Иркутск г, Депутатская ул, остановка 1-я Советская;Пн-Вс (09:00-21:00)
BK03;Крнд Новороссийск Бирюзов ЕС;353900, Новороссийск г, ул. Советов / ул. Бирюзов д.11 / д.;Пн-Вс (09:00-21:00)
K258;Ствр Кисловодск Горького ЕС;357700, Кисловодск г, Губина ул. 1А/ 40 лет Октября ул. 13;Пн-Вс (08:00-20:00)
X064;Хаб Николаевск-на-Амуре2 ЕС;682460, Николаевск-на-Амуре г, Советская ул 79а;Пн-Вс (09:00-19:00)
GD08;ХМАО Югорск Лайнер;628260, Ханты-Мансийский Автономный округ - Югра АО, Югорск г, Октябрьская ул, дом № 2;Пн-Вс (10:00-22:00)
LC12;РТ Соль-Илецк Оренбургская2;461505, Оренбургская обл, Соль-Илецкий р-н, Соль-Илецк г, Оренбургская ул, дом № 15 а;Пн-Вс (09:00-20:00)
YR37;СПб Отрадное;187330, Ленинградская обл, Кировский р-н, Отрадное г, район универсама (угол ул.Щурова и ул.Лесная);Пн-Вс (09:00-21:00)
LP19;Амур Благовещенск Октября2;675000, Амурская обл, Благовещенск г, 50 лет Октября ул, дом № 44;Пн-Вс (09:00-20:00)
GD47;Члб КС2;454036, Челябинская обл, Челябинск г, Черкасская ул, дом № 15 ТЦ КС;Пн-Вс (10:00-21:00)
YO43;Архск Нарьян-Мар3;166000, Ненецкий АО, Архангельская область, Нарьян-Мар г, им В.И.Ленина ул, дом № 42;Пн-Вс (10:00-21:00)
GA42;ЕК Каменск-Уральский7;623408, Свердловская обл, Каменск-Уральский г, Алюминиевая ул, дом № 16;Пн-Вс (09:00-21:00)
K748;Крнд Славянск-на-Кубани Ковтюха ЕС;353560, Славянск-на-Кубани г, Ковтюха ул 17;Пн-Вс (08:00-20:00)
X619;Якутия Верхневилюйск1 ЕС;678230, Верхневилюйск с, Советская ул 10;Пн-Вс (09:00-19:00)
K592;РД Каспийск Назарова ЕС;368305, Каспийск г, Назарова ул 1;Пн-Вс (09:00-20:00)
L548;Зеленый проспект;111141, Москва г, Зеленый пр-кт, дом № 19;Пн-Вс (10:00-20:00)
MV91;Железнодорожный ТЦ Эдельвейс ЕС;143980, Железнодорожный г, Советская ул 9;Пн-Вс (10:00-21:00)
LT58;Омск Рождественского;644020, Омская обл, Омск г, Рождественского ул, дом № 6;Пн-Вс (09:00-21:00)
YB53;Курск18;305044, Курская обл, Курск г, Союзная ул, дом № 16 Б;Пн-Вс (09:00-21:00)
LQ89;Ирк Свирск;665420, Иркутская обл, Свирск г, Комсомольская ул, дом № 2-2;Пн-Вс (09:00-21:00)
GD97;Члб Троицк3;457100, Челябинская обл, Троицкий р-н, Троицк г, 2-й мкр, дом № 6;Пн-Вс (10:00-20:00)
GN34;Ствр Благодарный;356420, Ставропольский край, Благодарненский р-н, Благодарный г, Первомайская ул, дом № 63 Благодарный г, Первомайская ул, дом № 63-65 литерА;Пн-Вс (08:00-20:00)
GN14;Крнд Брюховецкая;352750, Краснодарский край, Брюховецкий р-н, Брюховецкая ст-ца, Кирова ул, дом № 170Д/4;Пн-Вс (08:00-20:00)
LB09;РТ Канаш Рынок;429330, Чувашская Республика - Чувашия, Канаш г, Московская ул, дом № 14, помещение 2;Пн-Вс (08:00-20:00)
LD46;НН Выкса Ленина;607060, Нижегородская обл, Выкса г, Ленина ул, дом № 15Б;Пн-Пт (10:00-19:00)
LB61;РТ Нурлат Эссен;423042, Татарстан Респ, Нурлатский р-н, Нурлат г, Гиматдинова ул, ост. №4;Пн-Вс (08:00-20:00)
LT25;Збк Петровск;673005, Забайкальский край, Петровск-Забайкальский р-н, Петровск-Забайкальский г, Ленина ул, дом № 3;Пн-Вс (09:00-19:00)
LP83;Амур Свободный Ленина;676450, Амурская обл, Свободный г, Ленина ул, дом № 72;Пн-Вс (09:00-20:00)
LP80;Амур Прогресс Центр;676790, Амурская обл, Прогресс пос., Ленинградская ул, дом № 33;Пн-Вс (09:00-20:00)
GB12;ЕК Серов2;624992, Свердловская обл, Серов г, Ленина ул, дом № 128 ТЦ "Тайга";Пн-Вс (09:00-20:00)
GD78;Члб Озерск;456783, Челябинская обл, Озерск г, Космонавтов ул, дом № 15;Пн-Вс (09:00-21:00)
GD15;Члб Башня;454071, Челябинская обл, Челябинск г, Салютная ул, дом № 27;Пн-Вс (09:00-22:00)
YP76;СПб Колпино ТК Ока;196655, Санкт-Петербург г, Колпино г, Октябрьская ул, дом № 8;Пн-Вс (10:00-22:00)
LA22;РТ Алатырь Fugi Film;429826, Чувашская Респ, Алатырь г, Комиссариатская ул, дом № 42  помещение 2;Пн-Вс (09:00-20:00)
YA44;Владимир15;600022, Владимирская обл, Владимир г, Московское ш, дом № 2 ТЦ Бимарт;Пн-Вс (09:00-21:00)
YO97;Мрмск Мончегорск Дружба;184511, Мурманская обл, Мончегорск г, Металлургов пр-кт, дом № 34;Пн-Сб (10:00-20:00), Вс (11:00-20:00)
LC08;РТ Сибай Адель;453830, Башкортостан Респ, Сибай г, Ленина ул, дом № 9;Пн-Вс (10:00-20:00)
YB22;Кимовск;301720, Тульская обл, Кимовский р-н, Кимовск г, Крылова ул, дом № 2а;Пн-Вс (09:00-19:00)
YA22;Бологое;171080, Тверская обл, Бологовский р-н, Бологое г, Дзержинского ул, дом № 1 помещение 17;Пн-Вс (10:00-20:00)
I046;ПВЗ Крнд Артюшкова;350016, Краснодарский край, Краснодар г, им Артюшкова ВД ул, дом № 3;Пн-Вс (09:00-21:00)
P688;СРТ Озинки ЕС;413620, Озинки рп, Советская 35б;Пн-Вс (10:00-20:00)
ND53;Крск ТЦ Мави ЕС;Красноярск г, Щорса ул 44;Пн-Вс (10:00-21:00)
P685;СРТ Пугачев2 ЕС;413720, Саратовская обл, Пугачев г, М.Горького ул, дом № 40;Пн-Вс (09:00-20:00)
K516;Крнд Сочи Заповедная ЕС;354392, Сочи г, Красная Поляна п Заповедная ул 2;Пн-Вс (09:00-20:00)
U287;Пермь Куеда ЕС;617700, Куеда п, Гагарина ул 15;Пн-Вс (09:00-19:00)
S971;СКТ Ухта Заводская ЕС;169314, Ухта г, Заводская ул 3;Пн-Вс (10:00-21:00)
S357;СПб Волосово Вингиссара ЕС;188410, Волосово г, Вингиссара пр-кт 14Б;Пн-Вс (09:00-19:00)
GM28;КЧР Черкесск ТЦ Панорама;369000, Карачаево-Черкесская Респ, Черкесск г, Кавказская ул, дом № 37 ТЦ Панорама;Пн-Вс (10:00-21:00)
GC32;Тмн Стар Сити Мол;625007, Тюменская обл, Тюмень г, Тобольский тракт ТЦ стар Сити Молл;Пн-Вс (10:00-22:00)
GN56;Ствр Пятигорск Кирова;357500, Ставропольский край, Пятигорск г, Кирова пр-кт, дом № 36/ ул. Дзержинского, 42;Пн-Вс (09:00-21:00)
LS98;Томск ТЦ Мегаполис;634009, Томская обл, Томск г, Ленина пр-кт, дом № 217;Пн-Вс (10:00-20:00)
YB11;Калуга10;248023, Калужская обл, Калуга г, Маршала Жукова ул, дом № 2;Пн-Вс (09:00-21:00)
YA24;Боровск;249010, Калужская обл, Боровский р-н, Боровск г, Ленина пл, дом № 37;Пн-Вс (09:00-19:00)
LS90;Томск Автопарк2;634057, Томская обл, Томск г, Мира пр-кт, дом № 19;Пн-Вс (10:00-21:00)
GB14;ЕК Среднеуральск;624070, Свердловская обл, Среднеуральск г, Калинина ул, дом № 7 Б остановочный павильон "Калинина";Пн-Вс (10:00-20:00)
GB76;Пермь Кудымкар2;619000, Пермский край, Кудымкар г, Лихачева ул, дом № 55 В павильон;Пн-Вс (09:00-20:00)
L482;Электросталь7;144000, Московская обл, Электросталь г, Корешкова ул, дом № 3;Пн-Вс (10:00-20:00)
YC84;Собинка;601202, Владимирская обл, Собинский р-н, Собинка г, Димитрова ул, дом № 9, комната 15 и 16;Пн-Вс (09:00-18:00)
YP33;СПб Волхов2;187401, Ленинградская обл, Волховский р-н, Волхов г, Профсоюзов ул, дом № 13;Пн-Вс (09:00-19:00)
YO64;Вновг Петербургская238;173008, Новгородская обл, Великий Новгород г, Большая Санкт-Петербургская ул, дом № 130;Пн-Вс (10:00-21:00)
GA84;ЕК Новоуральск3;624130, Свердловская обл, Новоуральск г, Комсомольская ул, дом № 2 помещение № 2;Пн-Вс (10:00-20:00)
LE10;ПНЗ Ритейл Парк2;440068, Пензенская обл, Пенза г, Центральная ул, дом № 1, литер Т ТЦ "Ритэйл Парк";Пн-Вс (09:00-21:00)
GL83;Крнд Абинск Центр;353320, Краснодарский край, Абинский р-н, Абинск г, Советов ул, дом № 53, кв.35;Пн-Вс (08:00-20:00)
YO58;Вновг Валдай;175400, Новгородская обл, Валдайский р-н, г. Валдай, пл. Свободы, дом 13;Пн-Вс (09:00-21:00)
LB73;РТ Орск - ДК Нефтехимиков2;462404, Оренбургская обл, Орск г, Ленина пр-кт, дом № 43;Пн-Вс (10:00-21:00)
LS44;НСиб Голден Парк;630129, Новосибирская обл, Новосибирск г, Курчатова ул, дом № 1 ТЦ Голден Парк;Пн-Вс (10:00-22:00)
GD55;Члб Магнитогорск13;455023, Челябинская обл, Магнитогорск г, Карла Маркса пр-кт, дом № 74 ТЦ, здание Центрального Крытого Рынка;Пн-Вс (09:00-21:00)
LD13;Кир Вятские Поляны2;612964, Кировская обл, Вятскополянский р-н, Вятские Поляны г, Мира ул, дом № 44, помещение 1005;Пн-Вс (08:00-20:00)
GN88;Крнд Сочи Донская3;354068, Краснодарский край, Сочи г, Донская ул, дом № 27;Пн-Вс (10:00-18:00)
ML54;ТЦ Ново-Переделкино ЕС;119634, Москва г, Боровское шоссе 51стр.1;Пн-Вс (09:00-21:00)
I014;ПВЗ Крнд Героя Яцкова;350901, Краснодарский край, Краснодар г, им Героя Яцкова ИВ ул, дом № 15к2;Пн-Вс (09:00-21:00)
RH75;Таловая ЕС;397480, Таловая рп, Советская ул 141 а;Пн-Вс (08:00-18:00)
MW15;Волоколамск ТК Центр Города ЕС;143600, Волоколамск г, Панфилова ул 22;Пн-Вс (10:00-22:00)
RH51;Орел ТЦ Атолл ЕС;302028, Орел г, Октябрьская ул 27;Пн-Вс (10:00-21:00)
W214;РТ Казань Московский рынок ЕС;420000, Казань г, Декабристов ул 133В;Пн-Вс (09:00-21:00)
GA04;Крг Парус;640000, Курганская обл, Курган г, Рихарда Зорге ул, дом № 41 ТЦ Парус;Пн-Вс (09:00-21:00)
YA90;Десногорск2;216400, Смоленская обл, Десногорск г, 1-й мкр  центральная часть, пав. №20;Пн-Вс (09:00-19:00)
X655;Якутия Олекминск ТЦ Норн ЕС;678100, РС Саха Якутия, Олекминск г, Бровина ул, д.6;Пн-Вс (09:00-19:00)
S976;Архск Октябрьский ЦУМ ЕС;165210, Октябрьский рп, Победы ул 12;Пн-Сб (09:00-19:00)
X630;Якутия Борогонцы1 ЕС;678350, Борогонцы с, Ленина 38;Пн-Пт (10:00-17:30), Сб (10:00-15:00)
P778;ПНЗ Колышлей ЕС;442830, Колышлей рп, Советская ул 24;Пн-Вс (08:00-19:00)
P693;СРТ Аткарск3 ЕС;412420, Аткарск г, Гагарина 101А;Пн-Вс (08:00-20:00)
S536;Калин Мамоново ЕС;238450, Мамоново г, Парковая ул 4;Пн-Вс (10:00-20:00)
R791;Шарья2 ЕС;157500, Шарья г, Октябрьская ул 23;Пн-Вс (09:00-19:00)
K249;Ствр Ессентуки Интернациональная ЕС;357600, Ессентуки г, Интернациональная ул 25;Пн-Вс (09:00-21:00)
YD90;Рудня2;216790, Смоленская обл, Руднянский р-н, Рудня г, Колхозная ул, дом № 9А;Пн-Вс (09:00-20:00)
U843;ЕК Красноуфимск2 ЕС;623300, Красноуфимск г, Рогозинниковых ул 35;Пн-Вс (09:00-21:00)
S986;Вновг Малая Вишера Московская ЕС;174260, Малая Вишера г, Московская ул 3;Пн-Вс (09:00-20:00)
PD12;РТ Шентала ЕС;446910, Шентала ж/д_ст, Вокзальная ул 43;Пн-Вс (09:15-19:45)
LR82;Крск Алпи Тельмана;660111, Красноярский край, Красноярск г, Тельмана ул, дом № 30, корпус Г;Пн-Вс (09:00-21:00)
GB87;Пермь Очер;617141, Пермский край, Очерский р-н, Очер г, Ленина ул, дом № 46/14;Пн-Вс (09:00-20:00)
LP24;Якутия Верхневилюйск;678230, Саха /Якутия/ Респ, Верхневилюйский у, Верхневилюйск с, Карла Маркса ул, дом № 21 Б;Пн-Вс (09:00-19:00)
LQ32;Бур Улан-Удэ Эрдем;670000, Бурятия Респ, Улан-Удэ г, Ленина ул, дом № 24, корпус В;Пн-Вс (09:00-21:00)
GM06;Крнд Темрюк2;353500, Краснодарский край, Темрюкский р-н, Темрюк г, Урицкого ул, дом № 52А, помещение 1;Пн-Вс (09:00-19:00)
YP97;СПб Луга3;188230, Ленинградская обл, Лужский р-н, Луга г, АЯковлева ул, дом № 1А, литера А;Пн-Вс (09:00-20:00)
L155;ТЦ Город2;109052, Москва г, Рязанский пр-кт, дом № 2, корпус 2;Пн-Вс (10:00-22:00)
GN55;Крнд Ленинградская2;353740, Краснодарский край, Ленинградский р-н, Ленинградская ст-ца, Кооперации ул, дом № 88а;Пн-Вс (08:00-20:00)
GN30;Крнд Ейск4;353680, Краснодарский край, Ейский р-н, Ейск г, Свердлова ул, дом № 85;Пн-Вс (08:00-20:00)
GO90;РнД Цимлянск2;347320, Ростовская обл, Цимлянский р-н, Цимлянск г, Социалистическая ул, дом № 17Г, помещение 3;Пн-Вс (08:00-20:00)
K562;Крнд Мостовской Первомайская ЕС;352570, Мостовской пгт, Первомайская ул 72;Пн-Вс (08:00-20:00)
RH72;Кромы ЕС;303201, Кромы пгт, 25 лет Октября 5 литера А;Пн-Вс (09:00-19:00)
YS49;Вновг ТРЦ Мармелад;173016, Новгородская обл, Великий Новгород г, Ломоносова ул, дом № 29 ТРЦ Мармелад;Пн-Вс (10:00-21:00)
KD71;РСО Моздок Кирова ЕС;363750, Моздок г, Кирова 36;Пн-Вс (09:00-18:00)
N257;Нсиб Станиславского ЕС;630054, Новосибирск г, Станиславского пл 17;Пн-Вс (09:00-21:00)
