partnerCode;shopName;shopAddress;workingHours;latitude;longitude
L464;Чехов3;142300, Московская обл, Чеховский р-н, Чехов г, Московская ул, дом № 96;Пн-Вс (10:00-22:00);55,153431;37,459729
YA91;Донской;301767, Тульская обл, Донской г, Центральный мкр, Октябрьская ул, дом № 59а;Пн-Вс (09:00-20:00);53,967303;38,31992
YD38;Узловая;301600, Тульская обл, Узловский р-н, Узловая г, Октябрьская ул, дом № 8;Пн-Вс (09:00-19:00);53,9754;38,157698
YC14;Обнинск5;249034, Калужская обл, Обнинск г, Ленина пр-кт, дом № 72;Пн-Вс (10:00-19:30);55,094411;36,612196
YA55;Воронеж26;"394004, Воронежская обл, Воронеж г, Ленинский пр-кт, дом № 116 с Остановочный комплекс ""Придача""";Пн-Вс (09:00-21:00);51,671739;39,252606
YC37;Петушки;601144, Владимирская обл, Петушинский р-н, Петушки г, Маяковского ул, дом № 12а;Пн-Вс (09:00-19:00);55,93598;39,458382
YD39;Унеча;243300, Брянская обл, Унечский р-н, Унеча г, Иванова ул, дом № 10;Пн-Вс (09:00-20:00);52,842512;32,675886
YA73;Вышний Волочек;171158, Тверская обл, Вышний Волочек г, Казанский пр-кт, дом № 93;Пн-Вс (09:00-19:00);57,588361;34,560662
YA18;Белгород9;308010, Белгородская обл, Белгород г, Б.Хмельницкого пр-кт, дом № 164 ТЦ РИО;Пн-Вс (10:00-22:00);50,642103;36,572131
YC50;Россошь;396659, Воронежская обл, Россошанский р-н, Россошь г, Октябрьская пл, дом № 22б;Пн-Вс (08:00-20:00);50,198806;39,53906
L366;Ногинск4;142402, Московская обл, Ногинский р-н, Ногинск г, Ильича ул, дом № промплощадка №1 строение 1;Пн-Вс (09:00-21:00);55,883571;38,482781
R227;Судогда2 ЕС;601350, Судогда г, Ленина ул 42;Пн-Вс (09:00-18:00);55,95122;40,8626
R241;Климово ЕС;243040, Климово пгт, Октябрьская ул 13;Пн-Вс (09:00-19:00);52,37825;32,19324
R767;Балабаново2 ЕС;"249000, Калужская обл.,г. Балабаново, ул. 50 лет Октября ""Балабановские торговые ряды""";Пн-Вс (09:00-21:00);55,17788;36,66092
LS02;Крск Канск АЛПИ;663600, Красноярский край, Канск г, 40 лет Октября ул, дом № 62 строение 4 пом. 15;Пн-Вс (10:00-20:00);56,234317;95,700209
LD18;Кир Слободской3;613150, Кировская обл, Слободской р-н, Слободской г, Советская ул, дом № 79;Пн-Сб (09:00-20:00), Вс (09:00-19:00);58,730253;50,183053
U569;ЕК Шаля2 ЕС;623030, Шаля пгт, Орджоникидзе ул, д. 2б;Пн-Вс (09:00-20:00);57,25197;58,72426
